# Coordinates: chapter number (1-based) . paragraph index (0-based), in the pinned input.
# Chapters not listed map by identity (same chapter, same index, same text).
# merge-tail offset = UTF-16 code units to ADD to any character offset in the old tail paragraph
# (= UTF-16 length of the old head paragraph + 1 for the joining space). It differs per edition.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en
18	81	18	81	keep	0	0
18	82	18	82	keep	0	0
18	83	18	83	keep	0	0
18	84	18	84	keep	0	0
18	85	18	85	keep	0	0
18	86	18	86	keep	0	0
18	87	18	87	keep	0	0
18	88	18	88	keep	0	0
18	89	18	89	keep	0	0
18	90	18	90	keep	0	0
18	91	18	91	keep	0	0
18	92			delete		
18	93	18	92	renumber	0	0
18	94	18	93	renumber	0	0
18	95	18	94	renumber	0	0
18	96	18	95	renumber	0	0
18	97	18	96	renumber	0	0
18	98	18	97	renumber	0	0
18	99	18	98	renumber	0	0
18	100	18	99	renumber	0	0
18	101	18	100	renumber	0	0
18	102	18	101	renumber	0	0
19	0	19	0	keep	0	0
19	1	19	1	keep	0	0
19	2	19	2	keep	0	0
19	3	19	3	keep	0	0
19	4	19	4	keep	0	0
19	5	19	5	keep	0	0
19	6	19	6	keep	0	0
19	7	19	7	keep	0	0
19	8	19	8	keep	0	0
19	9	19	9	keep	0	0
19	10	19	10	keep	0	0
19	11	19	11	keep	0	0
19	12	19	12	keep	0	0
19	13	19	13	keep	0	0
19	14	19	14	keep	0	0
19	15	19	15	keep	0	0
19	16	19	16	keep	0	0
19	17	19	17	keep	0	0
19	18	19	18	keep	0	0
19	19	19	19	keep	0	0
19	20	19	20	keep	0	0
19	21	19	21	keep	0	0
19	22	19	22	keep	0	0
19	23	19	23	keep	0	0
19	24	19	24	keep	0	0
19	25	19	25	keep	0	0
19	26	19	26	keep	0	0
19	27	19	27	keep	0	0
19	28	19	28	keep	0	0
19	29	19	29	keep	0	0
19	30	19	30	keep	0	0
19	31	19	31	keep	0	0
19	32	19	32	keep	0	0
19	33	19	33	keep	0	0
19	34	19	34	keep	0	0
19	35	19	35	keep	0	0
19	36	19	36	keep	0	0
19	37	19	37	keep	0	0
19	38	19	38	keep	0	0
19	39	19	39	keep	0	0
19	40	19	40	keep	0	0
19	41	19	41	keep	0	0
19	42	19	42	keep	0	0
19	43	19	43	keep	0	0
19	44	19	44	keep	0	0
19	45	19	45	keep	0	0
19	46	19	46	keep	0	0
19	47	19	47	keep	0	0
19	48	19	48	keep	0	0
19	49	19	49	keep	0	0
19	50	19	50	keep	0	0
19	51	19	51	keep	0	0
19	52	19	52	keep	0	0
19	53	19	53	keep	0	0
19	54	19	54	keep	0	0
19	55	19	55	keep	0	0
19	56	19	56	keep	0	0
19	57	19	57	keep	0	0
19	58	19	58	keep	0	0
19	59	19	59	keep	0	0
19	60	19	60	keep	0	0
19	61	19	61	keep	0	0
19	62	19	62	keep	0	0
19	63	19	63	keep	0	0
19	64	19	64	keep	0	0
19	65	19	65	keep	0	0
19	66	19	66	keep	0	0
19	67	19	67	keep	0	0
19	68	19	68	keep	0	0
19	69	19	69	keep	0	0
19	70	19	70	keep	0	0
19	71	19	71	keep	0	0
19	72	19	72	keep	0	0
19	73	19	73	keep	0	0
19	74	19	74	keep	0	0
19	75	19	75	keep	0	0
19	76	19	76	keep	0	0
19	77	19	77	keep	0	0
19	78			delete		
19	79	19	78	renumber	0	0
19	80	19	79	renumber	0	0
19	81	19	80	renumber	0	0
19	82	19	81	renumber	0	0
19	83	19	82	renumber	0	0
19	84	19	83	renumber	0	0
19	85	19	84	renumber	0	0
19	86	19	85	renumber	0	0
19	87	19	86	renumber	0	0
19	88	19	87	renumber	0	0
19	89	19	88	renumber	0	0
19	90	19	89	renumber	0	0
19	91	19	90	renumber	0	0
19	92	19	91	renumber	0	0
19	93	19	92	renumber	0	0
19	94	19	93	renumber	0	0
19	95	19	94	renumber	0	0
19	96	19	95	renumber	0	0
19	97	19	96	renumber	0	0
19	98	19	97	renumber	0	0
19	99	19	98	renumber	0	0
19	100	19	99	renumber	0	0
19	101	19	100	renumber	0	0
19	102	19	101	renumber	0	0
19	103	19	102	renumber	0	0
19	104	19	103	renumber	0	0
19	105	19	104	renumber	0	0
19	106	19	105	renumber	0	0
19	107	19	106	renumber	0	0
19	108	19	107	renumber	0	0
19	109	19	108	renumber	0	0
19	110	19	109	renumber	0	0
19	111	19	110	renumber	0	0
19	112	19	111	renumber	0	0
19	113	19	112	renumber	0	0
19	114	19	113	renumber	0	0
19	115	19	114	renumber	0	0
19	116	19	115	renumber	0	0
19	117	19	116	renumber	0	0
19	118	19	117	renumber	0	0
19	119	19	118	renumber	0	0
19	120	19	119	renumber	0	0
19	121	19	120	renumber	0	0
19	122	19	121	renumber	0	0
19	123	19	122	renumber	0	0
19	124	19	123	renumber	0	0
19	125	19	124	renumber	0	0
19	126	19	125	renumber	0	0
19	127	19	126	renumber	0	0
19	128	19	127	renumber	0	0
19	129	19	128	renumber	0	0
19	130	19	129	renumber	0	0
19	131	19	130	renumber	0	0
19	132	19	131	renumber	0	0
19	133	19	132	renumber	0	0
