# Symposium old -> new paragraph map. Applies identically to original-en and modern-en.
# Coordinates: chapter number (1-based) . paragraph index (0-based), matching reader chapterNumber/paragraphIndex.
# Old = served baseline at main 38a97c6315fdad4fe01fe326c203f870e22e615b (original-en sha256 e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en sha256 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# No paragraph is merged, split or deleted, so offset_shift_* is 0 on every row (the columns keep the format read by prepare-structural-migration.py).
# Text is carried byte for byte (old hash == new hash) except modern-en 3.3, 3.7, 3.8 (C-06), marked text_changed=modern-en:
#   for those three, use mapping/changed-paragraph-ops.json (UTF-16 char and word opcodes) to project offsets.
# op: keep = same coordinate; renumber = same chapter, new index (+9 in chapter 1); move = new chapter (7.69-7.114 -> 8.0-8.45; 8.0 -> 8.46).
# New coordinates 1.0-1.8 have no old coordinate: they are the restored passages listed in inserted-paragraphs.tsv.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
1	20	1	29	renumber	0	0	none	81c8385119a2c5194e31263467b1f6e291d87ce34a86c3149412b6892160a5f4	81c8385119a2c5194e31263467b1f6e291d87ce34a86c3149412b6892160a5f4	4f50d10b6435904adafe7ad31da1851072f0df5d83819520ff1f1e865bb102dd	4f50d10b6435904adafe7ad31da1851072f0df5d83819520ff1f1e865bb102dd
1	21	1	30	renumber	0	0	none	91086d92996e7b301dd38b99fcf7d46ec4084003afd8e7b9ab59a4a72d83a73a	91086d92996e7b301dd38b99fcf7d46ec4084003afd8e7b9ab59a4a72d83a73a	583ef356d50cae4a5eb13a27b990b2a615b4c72ab58930370b8087aa92490b46	583ef356d50cae4a5eb13a27b990b2a615b4c72ab58930370b8087aa92490b46
1	22	1	31	renumber	0	0	none	3971b74cd29e27b2c703a2ca29cd7e5c1f046f623f3a90ff3c7b31701ed6391d	3971b74cd29e27b2c703a2ca29cd7e5c1f046f623f3a90ff3c7b31701ed6391d	8f5457b049973e72aec085f2188102de22793e4a9e0c1ece72866f13643a0e1a	8f5457b049973e72aec085f2188102de22793e4a9e0c1ece72866f13643a0e1a
1	23	1	32	renumber	0	0	none	61771ed5f000ca999426c118e1df6769cbd5ed3760fa539ef5a35712f1511d5e	61771ed5f000ca999426c118e1df6769cbd5ed3760fa539ef5a35712f1511d5e	c20e0684d7861a13d8cd5da026cd041a87fc57aad4ae4816354d37b6a1c8f68e	c20e0684d7861a13d8cd5da026cd041a87fc57aad4ae4816354d37b6a1c8f68e
1	24	1	33	renumber	0	0	none	abffc65c023640e4fe97568c81d803727828150799f2be453cd71f3927363094	abffc65c023640e4fe97568c81d803727828150799f2be453cd71f3927363094	629de5207781e348c8ab991fbf00ccc00b75d387234bab94b2fc034955231570	629de5207781e348c8ab991fbf00ccc00b75d387234bab94b2fc034955231570
1	25	1	34	renumber	0	0	none	c9772e4cbb276e0079209fb0781d059acb8c2e9bc771108f2e3d3d5239fd57a8	c9772e4cbb276e0079209fb0781d059acb8c2e9bc771108f2e3d3d5239fd57a8	60302434fdc912e5d166207935f5e18a357bf79fabb8adddc4e082ac5103d11f	60302434fdc912e5d166207935f5e18a357bf79fabb8adddc4e082ac5103d11f
1	26	1	35	renumber	0	0	none	f859f3ff7dd8a01f5f1f8a79f2949c2d24eb43db370b97eac2b3645f156b46ea	f859f3ff7dd8a01f5f1f8a79f2949c2d24eb43db370b97eac2b3645f156b46ea	7d3443a066c7885d2f22c6e67b4e9ef2dae04bf7822d4e46b32c2c081dd1c6ea	7d3443a066c7885d2f22c6e67b4e9ef2dae04bf7822d4e46b32c2c081dd1c6ea
1	27	1	36	renumber	0	0	none	6ab053ad46e6583be1698a356bc3bc22f431418050bf79939cdc57842fd664b1	6ab053ad46e6583be1698a356bc3bc22f431418050bf79939cdc57842fd664b1	50a64f86cbfea2c94d5aa592a8485749e6696d793f278b26d52d59f7d1698bcb	50a64f86cbfea2c94d5aa592a8485749e6696d793f278b26d52d59f7d1698bcb
1	28	1	37	renumber	0	0	none	d0284e02b7e3170ef0474398e779e46890c8fcffebd1241ebbab80797540b57c	d0284e02b7e3170ef0474398e779e46890c8fcffebd1241ebbab80797540b57c	1f7b54d7e1ebe18cf513a138879b487449751209835b702893b9dd080c7a77a6	1f7b54d7e1ebe18cf513a138879b487449751209835b702893b9dd080c7a77a6
1	29	1	38	renumber	0	0	none	3d76230681faacd2dd55b65c6e14d6fffa6f64a8cbf49f2b561cb18e469c2caf	3d76230681faacd2dd55b65c6e14d6fffa6f64a8cbf49f2b561cb18e469c2caf	6e62dd1da345f29cb564bfad15b8ce293634ebbe1dff162668e75f58c0f90be5	6e62dd1da345f29cb564bfad15b8ce293634ebbe1dff162668e75f58c0f90be5
1	30	1	39	renumber	0	0	none	fe015d32d35145fe447051a7b5b4e8fc6471d77df3c4a0fc16def90342ef7f70	fe015d32d35145fe447051a7b5b4e8fc6471d77df3c4a0fc16def90342ef7f70	bb15cfebdcceef2474d03bf47a74b759a734eeadda1136b7d9c98ad51c09add3	bb15cfebdcceef2474d03bf47a74b759a734eeadda1136b7d9c98ad51c09add3
