# Symposium live -> final paragraph map (composed: completeness repair + accessibility pass). Coordinates chapter.index (index 0-based).
# Old = live main 693121e30cde6aeabc2b0682f61b51aa8683735d (original-en e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# New = original-en 3521a12d5d5acd6d4ac83f53747192c5ae592f7bf5e965c9c9bff881965495a6 (completeness candidate; unchanged by the accessibility pass) and modern-en a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d (accessibility candidate).
# Column names and op values follow books/wip/symposium-completeness-repair/mapping/paragraph-map.tsv (read by prepare-structural-migration.py). offset_shift_* is 0 everywhere; text changes are given as opcodes in changed-paragraph-ops-live-to-final.json.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed_original_en	text_changed_modern_en	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
7	38	7	38	keep	0	0	none	none	b911753455337b412cc3df4ce3f4e7c4c9b4b59c531dc7f393dcf81a721fe5bd	b911753455337b412cc3df4ce3f4e7c4c9b4b59c531dc7f393dcf81a721fe5bd	8e5b509516a667efad7ead7d8591360a8996161908c7e015607aa09e761c1a62	8e5b509516a667efad7ead7d8591360a8996161908c7e015607aa09e761c1a62
7	39	7	39	keep	0	0	none	none	5fe3facdb013514f31dbf9c681484233a648dacd17e4bd4bd75877dfd8370e1a	5fe3facdb013514f31dbf9c681484233a648dacd17e4bd4bd75877dfd8370e1a	d0eea84e62c61b3aa71787c9aba719f6adc52cd1f3ddce307e215fee7c3493e6	d0eea84e62c61b3aa71787c9aba719f6adc52cd1f3ddce307e215fee7c3493e6
7	40	7	40	keep	0	0	none	accessibility	ba0c7ee333052f0696f615d03481753450aeb2c6db4ed0f48bc376896ade9b10	ba0c7ee333052f0696f615d03481753450aeb2c6db4ed0f48bc376896ade9b10	41599e9fd8fc76f312629860028caf7487b57a3aa2f9d8829e895233a9c31e37	04db7522d5f05506fe1c6da10959eb3cc05be3a16260d54013ee2dc17be29ced
7	41	7	41	keep	0	0	none	none	5f9a2b795615ba6a3d5455fd5624d773fbca5bcd16249c421fd37411dc9837da	5f9a2b795615ba6a3d5455fd5624d773fbca5bcd16249c421fd37411dc9837da	96aa879329f2ab0f25db40719bb8c5117b404da53bea12fa420fafa00b559538	96aa879329f2ab0f25db40719bb8c5117b404da53bea12fa420fafa00b559538
7	42	7	42	keep	0	0	none	accessibility	f8621b384bf65f0b17e425487cbce3abf406bb2c2648822437126e0ed0ef4e06	f8621b384bf65f0b17e425487cbce3abf406bb2c2648822437126e0ed0ef4e06	51deb56142da7b3f2b9dd322ed95e7327b7d424c9d93921b94ba9320b4f3d456	8d6447a7f9c1c253a43aca173dc6cfbe58c5d57c07f88ba19f361b74d2e6e8c9
7	43	7	43	keep	0	0	none	none	6998d433cc33e78707e28b112d5af0efa827c98444b913e229706cd551e8b8b8	6998d433cc33e78707e28b112d5af0efa827c98444b913e229706cd551e8b8b8	6be92418a23db460ab4a8751a336045d289e0ba9587f792f8cef6d78c9419de0	6be92418a23db460ab4a8751a336045d289e0ba9587f792f8cef6d78c9419de0
7	44	7	44	keep	0	0	none	accessibility	9cdaadb041eeca98bae1aed7d0da711b52d0983e13a200644e23606bd67d1b94	9cdaadb041eeca98bae1aed7d0da711b52d0983e13a200644e23606bd67d1b94	ca9147fcd67137bbe1fcc33573961fe6928d1e335d3933c08d9e8142930a7665	92af8844ca07dc8857e969a1cf39e4d5aca88c74fc5165bddf1967977f2832ae
7	45	7	45	keep	0	0	none	accessibility	a0980b930f0d2ed80ce81894c3753900ca459a8a91720b8765a072c09bb73d39	a0980b930f0d2ed80ce81894c3753900ca459a8a91720b8765a072c09bb73d39	cad2fc7bc509bd4dfc5bb9d7099c07ae1fff4149021899886ef56a5991308d55	21374091b385e2a2d37678e8b9e5fadc1c022cd5af66b2f73abfcdf0f88c2506
7	46	7	46	keep	0	0	none	accessibility	17c5b3563635b49cd70ac29bc2602e831af9f8ca57e9b5393d9ea382b304c5f2	17c5b3563635b49cd70ac29bc2602e831af9f8ca57e9b5393d9ea382b304c5f2	ee2a17bc7266c156364bb3c753401859399cbdf84c471eae125cf08b80a8138d	1d2dc0ef8b73485941f120e2e49c628f116ada2070ba9e4c92c73a63a58cd1bc
7	47	7	47	keep	0	0	none	accessibility	f03a1480f653f8e2526cf79debe1130c7a8f37754d45182f2410876e3e41dada	f03a1480f653f8e2526cf79debe1130c7a8f37754d45182f2410876e3e41dada	1b7090532645552485680a631188d6189cf21dadbc2cf22f3b6544efaa18031e	2832afaa45ca1264630d8ba89391eae496cbe230410ebd9131858a82ac5eb63e
