# Per-paragraph hashes of candidate/symposium-modern-en.json (sha256 of the raw UTF-8 paragraph text, the character-card paragraphHashes convention).
chapter	index	sha256	words	utf16_length	origin
5	14	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd	3	20	baseline 5.14 (unchanged)
5	15	c301750f2ff7d110607e09f58f891a55ca9e90e9ff8d263d8c68df84bfc18e2b	21	123	baseline 5.15 (unchanged)
5	16	49b0dbbb3a02926c481776670786d606a0e6f25c936605f015a4454c47421e02	85	433	baseline 5.16 (unchanged)
5	17	e1df054fa7b21a1e2e85dfe53816786244a579028a8cf5cab60c5e35275d0faf	40	221	baseline 5.17 (unchanged)
6	0	e27a4581cd31a8818509a40ce7cf7f37a405204f3147ad304b25303969acccb9	277	1429	baseline 6.0 (unchanged)
6	1	b0cb217ae9ec72a34b3f3be9ee96f26856dc2e5ef1df9d7915965d285d4fad84	19	88	baseline 6.1 (unchanged)
6	2	eade20186a079a05d9017c4cfa454dd116e74cf0fd56b56287567454496e09a9	276	1417	baseline 6.2 (unchanged)
6	3	13163fc2b42b42386ddb8e6fac21f59947612f43f49d46e4b609fa1c652e74d3	261	1294	baseline 6.3 (unchanged)
6	4	e6757f300a6deb3552fad6808409451ba0ec0769d8f29e73cb4896100e008dc9	298	1464	baseline 6.4 (unchanged)
6	5	8b6115b28cac3e7946b819bed6f449e5fa4bda158ec89c1b8adaf58bb048ef3e	18	99	baseline 6.5 (unchanged)
6	6	cf7a58e86d21c80e62d3634bac31bd9d1b5648bcba49fdb10323c5a1d2f7eb0c	170	973	baseline 6.6 (unchanged)
6	7	e0554cba87d3b070f1c327a34d2b0988ffb7e0c4d726cb3fbed6fb4e19707a7b	74	393	baseline 6.7 (unchanged)
6	8	e9e0f69a06e15658ebd7a8683052047578c6d88dc3001b1aa4be0c7915695b70	29	154	baseline 6.8 (unchanged)
6	9	adb9b60114376c59f843d8541047df0816a842a47995f816d1470e9a5663dac7	286	1499	baseline 6.9 (unchanged)
6	10	df7a2bce5d6fa812ffb7577dbfd438ac7cdf78236148478d816c3c075eaf3b39	205	1019	baseline 6.10 (unchanged)
6	11	48d92d8c2ca86ed062bc70f55f7ceca163775c1b377ccc3904e440e21871900d	47	261	baseline 6.11 (unchanged)
6	12	803e9a98db8e6d77f6c61224d553ea2f0ca25efb9c4362ef23eba49ec6a4f641	14	99	baseline 6.12 (unchanged)
7	0	75207612da929d9997a21ba4ed292e52a5d91a1e8fb73a3b7faa9c8218e616e0	125	639	baseline 7.0 (unchanged)
7	1	86f0c353f4a85e8477148e6e9e1487dbbbc51f0c5c0c687d0289f5277b3f4a76	4	26	baseline 7.1 (unchanged)
7	2	53bc5c4eba2e4e2204e1f27a93870487fa68dbf9e21e3df4829b33b11b03fd21	9	41	baseline 7.2 (unchanged)
7	3	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	2	12	baseline 7.3 (unchanged)
7	4	96a0ec0df58b994ec4b56be67ce59d8461867563d1b896862d598962f5a40eee	27	144	baseline 7.4 (unchanged)
7	5	0c2089b68d804cef3ec8611f0660b82054447f15f513ec8145d16d54cbaeabb3	3	24	baseline 7.5 (unchanged)
7	6	d7e96d1d9fe31f73a371f10f72cc54fc39d9d9ff66c591415468efa8ea841b73	7	34	baseline 7.6 (unchanged)
7	7	d5edc5b7ffc3c7303e21c16cb32044c7cf5dab128c518f258c68432880f9bae0	3	15	baseline 7.7 (unchanged)
7	8	abb1d603c6d468b91fdaf5349c1f7062705e523e9911c99707ae96284db556f6	16	87	baseline 7.8 (unchanged)
7	9	1ddfd9f1a156964f32ff576687854733ae5677154b7eec5ce4eba70f8660c028	5	35	baseline 7.9 (unchanged)
7	10	4059cb38013313453593fb252c04f4fc2d720c3ce78ccebf29c8ef18cfe56252	23	106	baseline 7.10 (unchanged)
7	11	d7e45a77928d5c7b7c3f9a315b4fa2ba77a7b203157d26d0e5baadc028700984	2	14	baseline 7.11 (unchanged)
7	12	7e3d495490e86c55f74dfeb4a4cfa0e38c2f6c28d0ee4dbf41e58826f54b50d1	15	79	baseline 7.12 (unchanged)
7	13	31351bb70073cbaa23b6416f5ba1d600c1759d033da4ecb3575d85eeae52affc	5	29	baseline 7.13 (unchanged)
7	14	843a253dc125807bbfebd0294d0bc3f2c84dd2989e8ab73132958719bc371331	51	300	baseline 7.14 (unchanged)
7	15	afa281d4eef6fbeff2ec022e84cbc520836cf8598b1ceeb345f0a734660c89fe	6	33	baseline 7.15 (unchanged)
7	16	858f66d7b86ff5ea94874d7bd195da1862ef4d242d606de3516927286170aac5	20	95	baseline 7.16 (unchanged)
7	17	2c898dfe39d14385b37b5c62109c7c046798fc1a67390b642e9eaaee39233a47	8	58	baseline 7.17 (unchanged)
7	18	331179ad9518e25e088c53119fab23a3fe4fd9b121a1d9f07e1a9c40b8fbc503	14	66	baseline 7.18 (unchanged)
7	19	fab6484b72eec9720fbc576bd66d760516212bb88d461b299117b5b86490cc25	2	12	baseline 7.19 (unchanged)
7	20	829d13ce11dcebd2dc64a41431fff72b8931a02ec027385585deaf76c378cd42	189	967	baseline 7.20 (unchanged)
7	21	c7ef721d313f7d24934e88adbd21b5a0430bdac632c7adfca4174dadcf022791	4	27	baseline 7.21 (unchanged)
7	22	bf900a35ac5ff8d3c30baab68237163c7968e347f17de235de544dfa8f91665b	41	221	baseline 7.22 (unchanged)
7	23	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac	4	21	baseline 7.23 (unchanged)
7	24	5d90cffb3b32859c33e9a8b48a0af911871d3948fe3f367685d210cb3c6023b0	48	232	baseline 7.24 (unchanged)
7	25	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac	4	21	baseline 7.25 (unchanged)
7	26	2b7c224e4803d88b6e72afb90c86a62631852d07a573d2d57603bf4044211428	25	143	baseline 7.26 (unchanged)
7	27	0844535f431db6243d5a85596d2879f05e5eec409675032048cadef37e572565	3	18	baseline 7.27 (unchanged)
7	28	f593e3503570fc83ae001707672b48483e4dd0e923a2e9860279f2fb4ff37ddc	52	257	baseline 7.28 (unchanged)
7	29	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd	3	20	baseline 7.29 (unchanged)
7	30	1b2c0659cc44b2331532e154346e1a271ce40ebbaddd75566c19352d5d8d26a7	25	118	baseline 7.30 (unchanged)
7	31	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	2	12	baseline 7.31 (unchanged)
7	32	cd9305ae44a93b1513519358439392ad68872c2f600178cc66dd4be8212103a9	19	98	baseline 7.32 (unchanged)
7	33	83784b5b9fa986b8f9e58a1ec07d2c5be9f0f0f872c8595ee4e3314080444783	3	16	baseline 7.33 (unchanged)
7	34	aa2f4d50658b9325f72934295e1cbb0854b035a2e9c8195fe93a719285d5e9fb	7	37	baseline 7.34 (unchanged)
7	35	0c2089b68d804cef3ec8611f0660b82054447f15f513ec8145d16d54cbaeabb3	3	24	baseline 7.35 (unchanged)
7	36	c9491c2c7503eb32812b5c122fb5e7cd6cb13dbeac53f5decfe56c771b7e14b0	13	76	baseline 7.36 (unchanged)
