# Per-paragraph hashes of candidate/symposium-original-en.json (sha256 of the raw UTF-8 paragraph text, the character-card paragraphHashes convention).
chapter	index	sha256	words	utf16_length	origin
7	1	44160b1b36cdf1466a8e42dccc129a2ecddb731a86d3522347ae394d5aca7ea0	4	24	baseline 7.1 (unchanged)
7	2	4c528ec47f6044af2b362425673d9fead28341fa8a7cb2b0afcef75c41d039c9	9	39	baseline 7.2 (unchanged)
7	3	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	2	12	baseline 7.3 (unchanged)
7	4	74a7ecac274859127673f552b2e2eb088819ae289271cf5a155570edb6e61503	27	142	baseline 7.4 (unchanged)
7	5	a4e50605f114c87600ad9c21d1fd87dee8812e5db324cff6deb00e2cf64c8478	3	22	baseline 7.5 (unchanged)
7	6	3534db0d25c9c3e981d1da6475b9784ecb4e87f101a4036f134a68a4989f90ae	7	32	baseline 7.6 (unchanged)
7	7	d3d15ebb5f65607478c4e1706c2393ad380cd963b197a119021775d8401adeab	3	13	baseline 7.7 (unchanged)
7	8	4ea5bb69312d53a494d463a7259c82439c12f2cac3003f3dc856b7e2d9e995dd	15	83	baseline 7.8 (unchanged)
7	9	cf31f446b26273f4bf46299219bc1bfeb92959572a08258168cdb5b5085b3588	5	33	baseline 7.9 (unchanged)
7	10	baf886eca1bdd308a7241f2b2fb0a6a66b6d9afebfc236298ed367188efd62d9	21	103	baseline 7.10 (unchanged)
7	11	1fd71cbcfc1877a45e5431fbac776c28f60e08217023d21131e4832d03814059	2	12	baseline 7.11 (unchanged)
7	12	bc61c8cea5a0486545acf9d0eebbd32e51e085eb9335f2776a521a58e9ddfd89	15	77	baseline 7.12 (unchanged)
7	13	affa261b53a4665cebaafb48c7adfb5e8eca763648d444f0c89d5437ee5bba96	5	27	baseline 7.13 (unchanged)
7	14	30dd602e041a57029830a8420381456f6f35053eadd4bbbcebf766659a167ab4	51	298	baseline 7.14 (unchanged)
7	15	1f2bb980c2b7e2d002c9cec7c6c639c818f096dd2af895ef15679e7ff57731f5	6	31	baseline 7.15 (unchanged)
7	16	db850c947c8536a50872e672dff5a0e9a1ecafebe9ecc0219c4f93694fb2e5d1	20	95	baseline 7.16 (unchanged)
7	17	74a2beabfa5fa9014a7593514f66658ab5bbf9a2365f8460729dff22fc78fe5e	8	56	baseline 7.17 (unchanged)
7	18	25c82e8077f8fe0cbf4e77a90d3494bfd3a281a0c472ba5df7d30e36d0db9702	14	64	baseline 7.18 (unchanged)
7	19	6336dbe9d13f44c350c94dddabddaf27cf78e6112158884dcc19ed26da1c33e8	2	10	baseline 7.19 (unchanged)
7	20	fbb69d82188aeda3f97ae968a1f94493a44cfa8c4414a7a5d6f99addebc96697	184	956	baseline 7.20 (unchanged)
7	21	401997db1fdc6de867bcd2154732af219599d3262ef13ec806f94657459cc1df	4	25	baseline 7.21 (unchanged)
7	22	b050b71b88cbaeab4bf0a894598ce83a084e69d23ae031d0057be340213fcc0e	41	217	baseline 7.22 (unchanged)
7	23	1edb5d0b955268439476fdd08f4fdc27b46f0040ea7e927c5ffa24cc40ed5cf0	4	19	baseline 7.23 (unchanged)
7	24	b4d53a62f0b32a9f55b959efddc50452d61c8d1d3e7f838e3eaeceeb7a9dc24b	46	230	baseline 7.24 (unchanged)
7	25	1edb5d0b955268439476fdd08f4fdc27b46f0040ea7e927c5ffa24cc40ed5cf0	4	19	baseline 7.25 (unchanged)
7	26	68f8bb29f37edaf44066e105480c796b6db35d52f8f6b195d79cfbbad3b22585	25	139	baseline 7.26 (unchanged)
7	27	1fb5f2ff61c3dc4bfc7472e89948367d753c00c9fd120db33eba0ba15250a5ef	3	16	baseline 7.27 (unchanged)
7	28	77c91d542e0987433d3ecf2151175bb00123bb3fc7a3465ae4af00bad09e521a	50	254	baseline 7.28 (unchanged)
7	29	6faa166cbf4049efc8e624e1d3bcd8ebaf88389d8a6732c86ae1bea0964eb31d	3	18	baseline 7.29 (unchanged)
7	30	94e16737bc023a3669d14dded79bbc221720ecf7d8c89620b021a0faeb8d0083	25	116	baseline 7.30 (unchanged)
7	31	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	2	12	baseline 7.31 (unchanged)
7	32	d344b2da556db16b3ee3c842a0e457ac36aa20bbcdfdf2de60daaaa4f53405f2	19	96	baseline 7.32 (unchanged)
7	33	fecbc2a267483b842b84360189e9fc5184e0017bb989cd6e12705003cb44aeba	3	14	baseline 7.33 (unchanged)
7	34	12ec12f77ae178a30df4fb47446e547602a0e9ed1508ef8758634f77cd8e07a9	7	35	baseline 7.34 (unchanged)
7	35	a4e50605f114c87600ad9c21d1fd87dee8812e5db324cff6deb00e2cf64c8478	3	22	baseline 7.35 (unchanged)
7	36	a2ce5a4435ec1b28611d747e1324daece0fa65420e26940d6d52789837dc0efc	13	74	baseline 7.36 (unchanged)
7	37	52ad61598f19718c49ab7b0951d95bf9e3296810e056ce0c7bf0a1cc073636ce	2	14	baseline 7.37 (unchanged)
7	38	b911753455337b412cc3df4ce3f4e7c4c9b4b59c531dc7f393dcf81a721fe5bd	9	48	baseline 7.38 (unchanged)
7	39	5fe3facdb013514f31dbf9c681484233a648dacd17e4bd4bd75877dfd8370e1a	13	68	baseline 7.39 (unchanged)
7	40	ba0c7ee333052f0696f615d03481753450aeb2c6db4ed0f48bc376896ade9b10	27	152	baseline 7.40 (unchanged)
7	41	5f9a2b795615ba6a3d5455fd5624d773fbca5bcd16249c421fd37411dc9837da	1	4	baseline 7.41 (unchanged)
7	42	f8621b384bf65f0b17e425487cbce3abf406bb2c2648822437126e0ed0ef4e06	10	56	baseline 7.42 (unchanged)
7	43	6998d433cc33e78707e28b112d5af0efa827c98444b913e229706cd551e8b8b8	15	86	baseline 7.43 (unchanged)
7	44	9cdaadb041eeca98bae1aed7d0da711b52d0983e13a200644e23606bd67d1b94	15	94	baseline 7.44 (unchanged)
7	45	a0980b930f0d2ed80ce81894c3753900ca459a8a91720b8765a072c09bb73d39	248	1266	baseline 7.45 (unchanged)
7	46	17c5b3563635b49cd70ac29bc2602e831af9f8ca57e9b5393d9ea382b304c5f2	279	1455	baseline 7.46 (unchanged)
7	47	f03a1480f653f8e2526cf79debe1130c7a8f37754d45182f2410876e3e41dada	273	1495	baseline 7.47 (unchanged)
7	48	f6c1c561b2c29005a1b558b130a8b8b85bad431bf9a1e96f1396804fc70ac45b	246	1350	baseline 7.48 (unchanged)
7	49	a76957d2de174ed3437f0e4c4bf22759aa836cc27dc03db4601778e7f334e493	287	1490	baseline 7.49 (unchanged)
