coord	sha256	changed
2.33	472d72962c77894a5772fe53a6116f3fe8bdfe593d27bc89c473e1e8b7ae8c84	0
2.34	083feed0ec8d24dda16ef489abb129cfa419aa1e9020cf03ac54e94cca9e60b6	0
2.35	8e058678c178aef4a37efa8b5012f1c6dcd3b3b6eed6862dd863053aae087708	1
2.36	f373df03205db24cbf816eb91368e73ef71c4e9c55ef276730acb79e3600d7c4	0
2.37	4f761544a507b3fd5bae2e04c06da8e911e12542da1df4684b731869ce1b2c50	0
2.38	d4bf59c417288d7a0cbdfce1229375ed00a7d68e9fe282065de4e65cda9d18ad	0
2.39	fec8fc0c5f1d96cf84595ee511299a73c8ba2fe014fb0bde2745312302ab0e7e	1
2.40	69ca07ff0f4bcfb30ea3edd9498d132e34ebaa2960fc233dacb152bec273f9da	0
2.41	f347d47cdc77ff2fe9b6ff82ce6155084dc0ebc2c77de7078e25d1a2b64d0866	0
2.42	cf650f3eff4b5672c7a01bbae1a36655e5ae9b5a38898f80273e92d5ab0bbec6	1
2.43	11ab1dbed4893a3a4079698e354d7370f1cb45a4c06c987b3e20e6355f5a6823	0
2.44	4c8824e1a3aafabfdbb69d0aa17ca62d1e584060070c9460b97e08215c287072	1
2.45	4d32f24b62e203b77d6ca911a3074877cd3f4fc6b7bee59075a508d9a5648f0f	1
2.46	a0fc94ac6192e2919180afd8ee7845945da7af80389e50bb89cedb72d266d0b2	0
2.47	e6efb0e42f23e8ea2e1c2b7b91a9dbff6856ec987562733921e754f935cf3d8a	0
2.48	bcf36ed56830ba59fc88410efa991949d812afd13e2ad40bba8db3f5fa008a6b	0
2.49	4ef5941583ba7eda0d0d05d89699fc1f2c2fc961e75f50edb186e1cb65981167	0
2.50	c80ae19b0013ee3f625320d7ea26145b95b67b84de4a1785826f620858302c30	0
2.51	fdd4ef1afa6793f55bfc50a1be99424539add0b779e92f755e9da18cc1c84db6	1
2.52	a6687d70ca02c04ca8c7f0801a779855404db9a34d04a59d87b5eb8ca128016f	1
2.53	84b382a45445927841b2a9fa59b97b22ea49ba61a6a132f6fb7bbf2b0e15362a	0
2.54	4ce8992766f170bd5b9f2ab16e4c7ae1c9dae5d8e910f22782ca58454d2bbe65	0
3.0	8c188ff6ce041a7d5ba8b86487afaf3c645957d57d979e736a13b85781609663	0
3.1	8276acf947e55e74163631f5dcef9be8ad360a8d75a1d88202bddd3386db007f	1
3.2	d334c636eefd7b54662795c7c6ff8ce23c2192ed1c033bbadae4a2dbb3fa1f81	0
3.3	180d746fcd3b0ccf5b31afc404240b1dbb51420352a4f310f4a30b0e0b979738	0
3.4	f402c725b0378c97c64ed625a5ca57dc343be1efd5be57456892f5aa1f954459	0
3.5	4bc4360d7e05f26de51bdc4acc83a5e251d3073effee6574cf3402c6d8b46b92	0
3.6	9b7efe16ecf8357f720674b788c42154eb202d6e13230fdb88b6710052d93bbb	0
3.7	584eb25a5e617e61acfd0952322cb79d04b73a33c0b65bf8bff2aec137fb221d	0
3.8	c4deb96e420121c8240769a1e5e537c2229d6e820a41c7e6116b067528579458	0
3.9	3647fb74d5ab5a798fe8392d34525db62f8ed7efdb32a317d352bfc70fd17f71	1
3.10	771cafb38fac8c9c81cae6f172131ca20ec21cb0f64b200a9c17a2ab9ee937be	1
3.11	46e87f6ef82e9a8f9f959614012c38c17e5b95c60cbac4cc17d574212bd05ec7	0
3.12	5d560f3505077259ff6039d306fdecf5ecdd726d626adf282eaa986b36984089	0
3.13	d9657f0d11557c90cf70fd9b2fe0943af5efad0ef2d17c46acb56a4421cd1a64	0
3.14	6da23630ef17a5ffd629d2bcfaae39d1dd6aec0d2479b11dfd5582b5a5715328	0
3.15	a094fd81645adfb511f63abce0779bfab438eed54122494d0c64dff6e9b00cfe	0
3.16	3c86d7709bc08c07123fbeb92de632160cd0f6fee28374884e0d5ef27555b8ef	0
3.17	331003e1d75d11ff19ffe0e5396e012f3a9af1637b1281b9b44872acaaaf1682	0
3.18	3a0a47449bc141d19fa7fb3020419f6e52bb92138a492301b46ba3bdf93229e9	0
3.19	c89ade23160d851598f6ed09d604da4c44d3024b7b5038b656363ac78a2025b0	0
3.20	d3f0b6dc32c9a2fb6711ac0a673c795970cb249b99a483d06c08d4b8c84fd178	0
3.21	09da54da5843ac00b3cce9c471aaef283219116cd51199deb9cd53248772780c	0
3.22	a6bcbd0cc8bae0708e323ec46b9e1663e08a9ee1269b358c3f4fc43f1afbf541	0
3.23	464419e1641e3a516150138af410fa6126866532c66bd3bac3c5f1522d0b1b82	0
3.24	0e923429d58f840a3e2413e389432674c24bdef2aead53c9ad1899c55a7d55a5	1
3.25	824a6e52d787aaf11e5685ec5c4b3edf37a084d2a914e82ba81bcffd4e0c01a2	0
3.26	fac8ae94168ff695db90c62712f22f5430b14eafbd71ec3548780a6d13d54ffd	0
3.27	861335ae09072c783815091bd3ac968ab215df8f3262eb1075bbb8d760fc7f6c	0
3.28	07fbaa7d7b951944cce3248b30fb914a147f98da1d5ebfadb036a45e1cc436dd	0
3.29	81415596378492ac43e7439c0936e225ba35fd9afcd9f56a13f33d30ba429316	0
3.30	1f6f02ef0724c2500dcdb5068a249af1db670657e15ac5f703ae4628821cda18	0
3.31	d725880da95ff007362249108c23a64d3c79986c7b3ac24e8a75707badfcfdfa	0
3.32	d316fd7f6c463dc3f2e2bc40cc794dc7ba45c21b2f021228b42a91463e109dc0	0
3.33	0228b2414a0eff7289c7f9948d56474bc1f10fe374c0e0c4ee9f675c0fdd46f0	0
3.34	58e0e6bbaafbd26afed4565dcf17c202159b858e48438bf7e3f0244135646105	0
3.35	b7ba253802f25155f9a9fdaa4f9f72bf1bf6df9fcc52f7cbe4ad0a0e94c327f4	0
3.36	8edea66e851d3a99990c7bd37416a401cb63cfb45b48c8c5179adc13db023d9b	0
3.37	8806cc4f526706df8d09a06b40a727a2a4a22299c4c2bdfdcb0461dcfd44d5f9	0
3.38	85db49877287782518849ee25826a97ce7195841562d162de0ccad679917bc7e	1
3.39	a465c644297ab8168a8719c7a5d0b7b7d24660662983b335edf4af3ad7279c49	1
3.40	5a759be933d8ceb0ff58a4d34c55bd41c282b97a56493cba4eba11e041c2cbd7	0
3.41	da201fc077672705126ded21e4f2025714c25784e1b741ca3f0c7e5ba947b9fb	0
3.42	d4fc9ccc016ec917997a4e8f12f71403923de3c0cfb9d57000dc86304a1957e9	1
4.0	ed9cdfb2c70de71c64be9e628a7153823bba3128bb96b0aa9d4ea56c60e0aa14	1
4.1	fac888511d3ca9dfdb89994d6235b00fda0e34746ea72d3cfa498db4f00edbc0	1
4.2	4abf53ea6726904721242b313ced794eb627fdcde9de82306f15cfd9f594f1a6	0
4.3	ecbff9f42939687d0877414855403b037c705350938b3ca49d1aed46da43a636	1
4.4	217a3c66e4fa06800b6ad755b09c9171f6bd41f5afa0c95c4b9288932e7dd7f8	1
4.5	6716e6b00ad60c4f42a83cc4d1b63f3c1640f22b8a515b7f73331975e1ca1bc0	0
4.6	328ad0c9259e5eb555646fd629bb5d4ffe3443f60e6bf5ed392671a362e17e05	1
4.7	681d5a8ded53f70d92ced17c9469421f588ece8b3bb662338fb3ec6b40f1a053	1
4.8	c0ac31a081b8be94b90f81c74e6f0d91f02d53db0dee2712bc9f32d7d1ef80c0	0
4.9	47b4c01d2df1f12b7cb1564d8c265b1689b130340d0cd7e992828782c4dd614e	0
4.10	ee1ccc88b4c9446bc439a44f6bf2e67e06e87b8acce2b81e5694ac3b886a2e1c	1
4.11	6851a82d702a81a971322f1297a204a08d212565604a4c8e44796daddeca56fe	0
4.12	faeb2b07d6feffd9231c8f04672c504d1d4928c2fc955d2dc7c18afa174d1f13	1
4.13	426cc6414b15b9ccc62cb8954ec5c051b30b2ef4fa43529f8eca8ece5ad29e33	1
4.14	8aa99036ab919ea9c2ab35271c62fe1808c67117187dd67901c2e3324e2547b0	0
4.15	b9c9b7f8e892df8e10d6e5cb8667122fcfb0abb90b16d6bf016ff72bfd5ee29d	0
