chapter	paragraph_index	class	review_edited	live_sha256	candidate_sha256
3	21	wording		c746dda19c0c98ea34548aa502548fe189469c6462daa67d353a48aacd88df62	45acfe1e759c8eed7dd714ef88eda9b28a269f33cbd5c2b0f950d2c2c757e8f1
3	22	wording		569e82cf871fe87049e50c90450184bd016c81649de2854c7d7ab3e8b3052a44	e3d8e65c90119965b020dce4f983456c05c6ee8d59ef263d9ebba898a382e7e8
3	23	wording		40160cfc02f0bfd5e77bda7e1ef9a044221845a9299228274145f0526a256250	a686e1485558dcd479d1c5dd67d0ee455f18adc687581f80bb658a8fb7e3c774
3	24	wording		0c3a6fff1809ae5394c56d7746b7fa985cba93ddf98cc9c10f66c185034e4a7b	7891ccabdf533bae7dd7a87bdda8a6f07b0942c06b5e640622aa018eb260e474
3	25	wording		3264286c5fa192d70d566ac3d432168871b2e564b1f3f7e31d3ec22ff5952808	837c5ff3227bdb923e43c544d4b04adddfe5cd6661eee242d0b5e048bf9bf82e
3	26	wording		ded429adfe099eb2df2053cdb1b7c4fb7751fa17feedc9d0ec5fecc45731bb8e	b2f5fd9407d66aa89dcee7780c498e4f1c898fc83ffbca0884211a927cdff63f
3	27	wording		b6a6901ea3fba14bf30fe30b3b19b3778dfc66df4af9d6639748d652bbb49b7f	437495b30d15e57511cd8e1b15d2501315ca64afb1a8af3740b1050a50080d6c
3	28	wording		58420134b26031ba5517640befff682daa27345e679d7502e56460b47300d448	ced96606310b7ce49f88460ec4469d92b5926af5d650df7a4169e907281575b8
3	29	wording		c886c44675f510fdeb064923200a3cf5cc3711f3b4e5d9baff6f26c3792a66b4	aebe0f49222adddbff72d9585b4d6caf5df3f63c20ddfe0aca84a3dabb8e216f
3	30	wording		b452259fc559f4c77fbd18020c79454b55c84e7a6eae7123e8376ed8fc3a6f13	436070fe8aed9ef7dde965dc69f07bb78b53fef2778a22093e66bf698c9ad064
3	31	wording		d5c65c52b17a1636cc61ecf50ebe2a941df340d808aae1887ffed01de68c3429	2729a09b1f3449cc41fa3e2abaa47f169841375740346d205c6b4cbb9aefbb51
3	32	wording		8a2464bc809555a1e433194e7f83f02073f0ccfe2804fdbe23716dd79888d23a	3141de6abbc7434413b0e1081f6f34fbab4f8c7bf44e3c0c32a05bb5449f8e71
3	33	wording		e5332727648e062f283fb3145934d22a653e9bbe7f94a409f87045ca79af47cd	bf29563baa8e8b1ee33760d907be5ef275dea4187d45f67a709e68576223d463
