# sha256 of each raw paragraph (UTF-8). before = accepted completeness candidate 1e970b7beb3f098095ecf1a9fc7d78a8855d75e6ffc3bba14edc69db0e05374f; after = this candidate a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d.
coordinate	sha256_before	sha256_after	changed
4.3	8ec207eed4753c872da10bf14520517a08c94ea12aad473696c7f3da3c4ed552	a5313038705a485508825b1d39e1acf08213a59f7224cc4fa97de79a830a7c6b	yes
4.4	0905bd571bcb4bd03f971ddce9d5415f653bada2dfbebfd420d4691c7cc0644a	398f1993d1c783de349ef6cd94ba5770fef973c365e62337c9dd13450d9dc765	yes
4.5	bf8c87a38323efe1bff7f89d1824a1e0c3b973e3b6dff0605a5b98447213c803	9cb66b2bbac01837d608ea3e51c59127c154f6e6adb38c731f96ae8bf52be502	yes
4.6	517265ec25edb42ff469b88030aef5844348f5a9db97aeeebb48eb5ccc15a1bf	ea8002efb26fe08073406793910c98e537f130e73d4cdda876515bddbcb4c0ec	yes
4.7	e14987ac00916e9b7d39a8fbde96c81aacef0f1cddea3db25d309a869710b657	b14c06f40b85af19415f8233c9bacbf4de406be5b4f815ed8fe9d433ce48dbd8	yes
4.8	8938b9db0ebf67f16cd14f40a12b1ddc22bdb2ebae05ca47de69ebdda503d14e	28daad90495698cdb2c50f5c34617079c1d7c7b383403e2d518872103d9bce49	yes
4.9	cdf0fe70aaf17e6bd2209c322d90e07f84a04e35f634491f27686d6b6db9ea29	af95a868573d92208129a5b3ac111717fa6552e76dbd2518f67ca2a3bc9133ee	yes
5.0	747fecb8c27ed430930e69b0c248fb3f6c1b4be584b0bc40758385e5d146672e	a80ed12c323fb2f8bf1bd3eb3e459e74e7e187e74fcc16ae37bd3b09e0b9c161	yes
5.1	e9b2672047e448e5e0e07e7e0f58467886cb3d6ee2c571e936e511c448fdddc4	96692674d5fd98b554d0aab25ab010f5cf188f17f2e5d9c077c843b03ec6131e	yes
5.2	a0081ac32e7e75bd48ed38eeccef3956253c1b6d78c12bacc193db6cc82db719	9ab11635a67d6a92bada2a5738ed2a7ecd352506b050c07a0780bfeb12a0c4e2	yes
5.3	d5ce98acc7da786fc869e7843131e75967eb8b3c26ab5dada010827aa4e7a95d	e7bb6c1d60a47122ec0527611a7f41b3f931291d700cba39719e89a296f28cd2	yes
5.4	38c2e4342acd548cb39e76f4f515b1d6c312d6cc03f56514ab65f0d02d89c716	81cd48fa3cb59d624a80f3aa979fb630b949cfd5ec10fa0d8b83ed6f21c6d15e	yes
